SKU,Title,Price,Cover_Image_URL
EDU14,Kingdom Builder,15.99,https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_102600_d69def83-2f51-4a8d-8f6e-d72001842c13.png
EDU15,The Intercessor Stands,15.99,https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_102605_ebacc4c2-747d-43d7-a2e0-f52dbb4ac1d8.jpeg
EDU16,The Marketplace Minister,15.99,https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_102606_c1e65e33-2e39-4575-a4a3-41ffe2c8b827.jpeg
EDU17,The Prophetic Voice Rises,15.99,RENDERING_LINK_PENDING
EDU18,The Worshipper's Throne,15.99,https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_102610_ff5106e8-7538-45f6-9226-d30ff45391f9.png
EDU19,God Gives Back Double,15.99,https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_102613_9ec54155-bcd2-4dfa-8fec-c909420839f2.jpeg
EDU20,The Grave Could Not Hold Me,15.99,https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_102615_ff60cdba-fc65-4097-a61e-0593bab88456.jpeg
EDU21,Dry Bones Rattling,15.99,https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_102628_89f67ec4-0ed9-412d-9a45-9afea4d9150c.jpeg
EDU22,Fresh Fire Burn for God Again,15.99,https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_102629_772a9364-024e-4fb3-a174-0022f4104349.jpeg
EDU23,I'm Coming Out at Midnight,15.99,https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_102632_21fdf76e-1c04-4183-831e-85361d7ffb3f.png
EDU24,Prayers for Families Who Are Suffering,15.99,https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_102634_764df841-a8ba-43f1-85e4-32fe87f308f3.jpeg
EDU25,How to Pray Over Your Children and Grandchildren,15.99,https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_102636_77a4a800-a136-4552-bcd7-8c200d9fe6ad.jpeg
